Academic Score,Stream,Technical Skill,Soft Skill,Personality,Interest,Work Style,Career Domain
61.5,Engineering,Python,Analytical,Ambivert,AI,Remote,Prompt Engineer
93.83,Commerce,Power BI,Communication,Introvert,Analytics,Hybrid,Business Analyst
64.58,Science,Power BI,Analytical,Introvert,Analytics,Remote,Research Analyst
71.05,Science,Python,Analytical,Introvert,AI,Hybrid,Research Scientist
83.53,Science,Maths,Analytical,Introvert,Econometrics,Hybrid,Quant Analyst
67.17,Science,Python,Leadership,Extrovert,Research,Remote,Lab Manager
73.27,Engineering,C++,Problem Solving,Ambivert,Automotive,Office,Automotive Engineer
66.76,Engineering,SQL,Analytical,Extrovert,Data Science,Office,Data Analyst
52.56,Journalism,UI/UX,Communication,Ambivert,Publishing,Hybrid,Content Strategist
85.4,Engineering,Web Dev,Communication,Introvert,Web Apps,Remote,Full Stack Developer
55.54,Arts,Graphics Design,Creative,Introvert,Illustration,Office,Illustrator
54.23,Sports,Excel,Leadership,Ambivert,Sports Marketing,Hybrid,Sports Marketing Manager
91.73,MBA,Power BI,Analytical,Extrovert,Business Intelligence,Office,BI Manager
69.34,Commerce,SQL,Analytical,Ambivert,Banking,Hybrid,Risk Analyst
50.66,MBA,SQL,Leadership,Extrovert,Enterprise Strategy,Remote,Strategy Manager
67.07,MBA,SQL,Analytical,Introvert,Product,Remote,Product Manager
71.96,Engineering,Python,Analytical,Ambivert,AI,Office,AI Engineer
62.42,Engineering,SQL,Analytical,Introvert,Big Data,Hybrid,Data Engineer
63.61,Arts,Graphics Design,Communication,Ambivert,Animation,Remote,Animator
76.9,MBA,Excel,Communication,Ambivert,Sales,Hybrid,Sales Manager
86.91,Engineering,Python,Leadership,Ambivert,Automation,Office,Automation Engineer
72.13,Science,Maths,Problem Solving,Extrovert,Actuarial Science,Remote,Actuary
79.76,Engineering,Python,Creative,Ambivert,Computer Vision,Hybrid,CV Engineer
73.23,Commerce,Tally,Communication,Extrovert,Taxation,Remote,Tax Consultant
80.49,Journalism,UI/UX,Communication,Introvert,Publishing,Hybrid,Content Strategist
89.77,Sports,Excel,Team Work,Introvert,Fitness,Hybrid,Fitness Manager
55.8,Engineering,Web Dev,Communication,Ambivert,Web Apps,Office,Full Stack Developer
75.1,Sports,Analytics,Problem Solving,Extrovert,Sports Science,Office,Sports Scientist
85.78,Journalism,Graphics Design,Creative,Extrovert,Advertising,Hybrid,Creative Director
53.79,Engineering,SQL,Team Work,Extrovert,Database,Hybrid,Database Administrator
87.64,Sports,Excel,Leadership,Ambivert,Sports Marketing,Office,Sports Marketing Manager
93,Arts,Graphics Design,Creative,Ambivert,Gaming,Remote,Game Artist
70.43,Engineering,Python,Creative,Ambivert,Computer Vision,Hybrid,CV Engineer
84.07,Science,SQL,Analytical,Extrovert,Data Science,Hybrid,Data Analyst
61.19,Journalism,Graphics Design,Creative,Introvert,Advertising,Office,Creative Director
66.29,Science,Python,Analytical,Ambivert,Quantum Computing,Hybrid,Quantum Researcher
83.96,Science,Python,Leadership,Introvert,Research,Remote,Lab Manager
99.66,Journalism,Graphics Design,Creative,Ambivert,Marketing,Remote,Media Specialist
53.34,Arts,Graphics Design,Creative,Ambivert,Illustration,Office,Illustrator
65.28,Engineering,Python,Analytical,Ambivert,AI,Hybrid,AI Engineer
82.63,Arts,Web Dev,Communication,Extrovert,Media,Office,Media Designer
70.19,Engineering,Networking,Communication,Extrovert,Infrastructure,Office,System Engineer
63.82,Arts,Graphics Design,Creative,Introvert,Design,Hybrid,Graphic Designer
75.52,Commerce,Excel,Leadership,Ambivert,Investment,Hybrid,Investment Analyst
88.76,Journalism,UI/UX,Creative,Ambivert,Storytelling,Remote,Content Creator
95.49,Science,Maths,Analytical,Extrovert,Statistics,Remote,Statistician
52.59,Arts,Web Dev,Communication,Ambivert,Content Creation,Office,Content Designer
78.04,Sports,Excel,Leadership,Extrovert,Event Management,Office,Sports Event Manager
51.61,Commerce,Power BI,Analytical,Ambivert,Business Intelligence,Remote,BI Consultant
71.37,Engineering,SQL,Analytical,Introvert,Big Data,Hybrid,Data Engineer
62.76,Engineering,SQL,Analytical,Ambivert,Business Analytics,Hybrid,BI Analyst
81.89,Engineering,Python,Problem Solving,Introvert,ML,Hybrid,ML Engineer
50.81,Engineering,Python,Analytical,Ambivert,AI,Remote,Data Scientist
69.94,Science,Python,Leadership,Introvert,Research,Remote,Lab Manager
57.65,Engineering,Power BI,Communication,Ambivert,Analytics,Hybrid,BI Developer
52.65,Sports,Analytics,Problem Solving,Introvert,Sports Science,Hybrid,Sports Scientist
77.66,Sports,Analytics,Problem Solving,Extrovert,Sports Science,Hybrid,Sports Scientist
55.93,Sports,Analytics,Leadership,Extrovert,Sports Tech,Office,Sports Technology Analyst
86.36,MBA,SQL,Analytical,Extrovert,Product,Remote,Product Manager
92.24,Arts,Graphics Design,Creative,Ambivert,Illustration,Office,Illustrator
95.48,Commerce,Excel,Communication,Ambivert,Insurance,Office,Insurance Analyst
52.33,MBA,Power BI,Leadership,Ambivert,Operations,Remote,Operations Manager
96.05,Engineering,SQL,Analytical,Ambivert,Data Science,Hybrid,Data Analyst
59.33,Arts,Graphics Design,Leadership,Introvert,Branding,Hybrid,Brand Designer
91.38,Engineering,Web Dev,Analytical,Extrovert,Architecture,Hybrid,Backend Developer
83.21,Commerce,Excel,Analytical,Extrovert,Finance,Hybrid,Financial Analyst
61.4,Engineering,Python,Analytical,Ambivert,AI,Remote,Data Scientist
64.74,MBA,Power BI,Leadership,Introvert,Operations,Remote,Operations Manager
59.34,Commerce,Power BI,Communication,Extrovert,Analytics,Hybrid,Business Analyst
93.74,Commerce,Power BI,Communication,Extrovert,Analytics,Office,Business Analyst
67.58,Engineering,Python,Analytical,Introvert,Cloud,Hybrid,Cloud Engineer
71.29,Sports,Analytics,Problem Solving,Ambivert,Sports Science,Office,Sports Scientist
77.51,Engineering,SQL,Analytical,Ambivert,Business Analytics,Hybrid,BI Analyst
74.82,Engineering,Python,Creative,Introvert,Computer Vision,Office,CV Engineer
68.7,MBA,Power BI,Communication,Extrovert,Digital Marketing,Office,Digital Marketing Manager
64.38,MBA,SQL,Leadership,Extrovert,Business Analytics,Hybrid,Strategy Consultant
90.49,MBA,Power BI,Leadership,Introvert,Operations,Hybrid,Operations Manager
95.25,Commerce,Excel,Leadership,Extrovert,Investment,Hybrid,Investment Analyst
80.68,Engineering,Python,Problem Solving,Ambivert,MLOps,Office,MLOps Engineer
51.24,Engineering,Web Dev,Creative,Introvert,Design,Hybrid,Frontend Developer
92.11,Journalism,Web Dev,Communication,Extrovert,Digital Media,Office,Digital Journalist
68.67,Engineering,Python,Analytical,Ambivert,Cloud,Office,Cloud Engineer
69.16,Engineering,Networking,Team Work,Introvert,Networking,Office,Network Engineer
78.46,Journalism,UI/UX,Communication,Extrovert,Publishing,Remote,Content Strategist
62.98,Sports,Excel,Team Work,Ambivert,Fitness,Office,Fitness Manager
86.68,Engineering,Networking,Leadership,Extrovert,Cloud Security,Remote,Cloud Security Engineer
65.34,MBA,Excel,Leadership,Extrovert,HR,Office,HR Manager
76.6,Sports,Communication,Creative,Extrovert,Commentary,Hybrid,Sports Broadcaster
91.18,Engineering,Python,Problem Solving,Introvert,NLP,Remote,NLP Engineer
60.05,MBA,Power BI,Analytical,Ambivert,Business Intelligence,Hybrid,BI Manager
55.3,Commerce,Power BI,Communication,Extrovert,Analytics,Remote,Business Analyst
56.41,Journalism,Web Dev,Communication,Ambivert,SEO,Office,SEO Specialist
62.92,MBA,Power BI,Leadership,Extrovert,Operations,Hybrid,Operations Manager
70.35,MBA,Excel,Problem Solving,Extrovert,Supply Chain,Hybrid,Supply Chain Manager
56.91,Arts,UI/UX,Analytical,Extrovert,User Research,Office,UX Researcher
83.75,Science,Python,Analytical,Ambivert,AI,Hybrid,Research Scientist
94.88,Engineering,C++,Analytical,Ambivert,Embedded Systems,Office,Embedded Engineer
95.21,Arts,Graphics Design,Leadership,Extrovert,Branding,Hybrid,Brand Designer
75.41,Science,Python,Analytical,Introvert,Quantum Computing,Office,Quantum Researcher
75.08,Engineering,Web Dev,Communication,Ambivert,Web Apps,Office,Full Stack Developer
50.5,Sports,Communication,Creative,Introvert,Commentary,Office,Sports Broadcaster
85.62,Journalism,Web Dev,Communication,Introvert,Digital Media,Office,Digital Journalist
54.14,Science,SQL,Analytical,Introvert,Data Science,Office,Data Analyst
57.1,Engineering,C++,Problem Solving,Introvert,Automotive,Remote,Automotive Engineer
87.56,Engineering,Python,Analytical,Ambivert,Cloud,Hybrid,Cloud Engineer
99.07,Engineering,Networking,Leadership,Ambivert,Cyber Security,Office,Security Engineer
88.8,Engineering,C++,Analytical,Extrovert,Embedded Systems,Remote,Embedded Engineer
58.57,Engineering,Power BI,Communication,Ambivert,Analytics,Remote,BI Developer
92.2,Sports,Communication,Leadership,Ambivert,Coaching,Hybrid,Coach
65.55,Science,Python,Analytical,Extrovert,Bioinformatics,Hybrid,Bioinformatics Analyst
88.86,MBA,Power BI,Leadership,Extrovert,Operations,Office,Operations Manager
70.17,Arts,UI/UX,Problem Solving,Introvert,Product Design,Remote,Product Designer
58.33,Sports,Excel,Leadership,Ambivert,Event Management,Remote,Sports Event Manager
79.8,MBA,Power BI,Communication,Ambivert,Finance,Hybrid,Finance Manager
84.98,MBA,Excel,Communication,Extrovert,Sales,Office,Sales Manager
88.08,Journalism,UI/UX,Creative,Extrovert,Storytelling,Remote,Content Creator
75.86,Commerce,Power BI,Analytical,Introvert,Business Intelligence,Remote,BI Consultant
54.76,Engineering,SQL,Team Work,Ambivert,Database,Remote,Database Administrator
81.4,Commerce,SQL,Analytical,Extrovert,FinTech,Office,FinTech Analyst
54.65,MBA,SQL,Analytical,Introvert,Consulting,Hybrid,Business Consultant
50.37,Engineering,Python,Problem Solving,Extrovert,DevOps,Remote,DevOps Engineer
75.75,Engineering,Python,Problem Solving,Extrovert,ML,Hybrid,ML Engineer
79.84,Journalism,Web Dev,Communication,Ambivert,Social Media,Remote,Social Media Manager
69.03,Engineering,Web Dev,Creative,Introvert,Design,Office,Frontend Developer
96.94,MBA,Excel,Problem Solving,Extrovert,Supply Chain,Remote,Supply Chain Manager
73.43,Engineering,Python,Analytical,Introvert,Cloud,Hybrid,Cloud Engineer
54.66,Engineering,Networking,Analytical,Extrovert,Telecom,Office,Telecom Engineer
72.48,Arts,Web Dev,Creative,Extrovert,Creative Tech,Hybrid,Creative Technologist
98.28,Sports,Analytics,Communication,Ambivert,Performance,Office,Performance Analyst
66.43,Science,Maths,Analytical,Extrovert,Econometrics,Remote,Quant Analyst
67.68,Sports,Excel,Leadership,Extrovert,Sports Marketing,Office,Sports Marketing Manager
80.76,Sports,Communication,Creative,Introvert,Commentary,Remote,Sports Broadcaster
99.72,Engineering,Web Dev,Creative,Introvert,Design,Remote,Frontend Developer
96.26,Science,Python,Analytical,Introvert,AI,Remote,Research Scientist
57.53,Journalism,Communication Tools,Communication,Introvert,Media,Remote,Journalist
90.23,Arts,UI/UX,Creative,Extrovert,Accessibility,Office,Accessibility Designer
65.57,Commerce,Excel,Communication,Ambivert,Insurance,Hybrid,Insurance Analyst
58.86,Journalism,Graphics Design,Leadership,Ambivert,PR,Remote,PR Specialist
65.71,Sports,Communication,Leadership,Introvert,Coaching,Hybrid,Coach
96.7,Arts,UI/UX,Creative,Introvert,Design,Remote,UI UX Designer
93.58,Commerce,Power BI,Communication,Introvert,Analytics,Office,Business Analyst
51.28,Science,Python,Analytical,Extrovert,AI,Remote,Research Scientist
90.07,Commerce,Power BI,Creative,Introvert,Marketing Analytics,Remote,Marketing Analyst
71.95,Commerce,Excel,Analytical,Ambivert,Finance,Remote,Financial Analyst
57.02,MBA,SQL,Analytical,Ambivert,Consulting,Office,Business Consultant
67.51,Sports,Analytics,Analytical,Ambivert,Sports Analytics,Office,Sports Analyst
98.63,Science,Excel,Communication,Extrovert,Teaching,Hybrid,Science Teacher
94.04,Sports,Excel,Leadership,Ambivert,Sports Marketing,Office,Sports Marketing Manager
99.5,Engineering,SQL,Analytical,Extrovert,Data Science,Office,Data Analyst
91.04,Arts,UI/UX,Creative,Ambivert,Accessibility,Hybrid,Accessibility Designer
80.47,Engineering,Python,Creative,Extrovert,Computer Vision,Office,CV Engineer
70.75,Journalism,Communication Tools,Communication,Introvert,Media,Hybrid,Journalist
68.85,Sports,Communication,Creative,Introvert,Commentary,Office,Sports Broadcaster
97.14,MBA,Power BI,Communication,Ambivert,Finance,Hybrid,Finance Manager
86.93,MBA,SQL,Analytical,Introvert,Product,Office,Product Manager
95.69,Sports,Communication,Team Work,Extrovert,Athletics,Remote,Trainer
88.2,MBA,Power BI,Leadership,Ambivert,Growth Marketing,Hybrid,Growth Manager
57.39,Engineering,Python,Problem Solving,Extrovert,ML,Remote,ML Engineer
55.37,Commerce,Excel,Communication,Extrovert,Insurance,Office,Insurance Analyst
64.98,Journalism,Web Dev,Communication,Introvert,Social Media,Remote,Social Media Manager
89.13,Sports,Excel,Leadership,Extrovert,Event Management,Remote,Sports Event Manager
92.66,Commerce,Excel,Problem Solving,Ambivert,Audit,Hybrid,Auditor
68.6,Engineering,Web Dev,Communication,Ambivert,Web Apps,Office,Full Stack Developer
61.28,Journalism,UI/UX,Creative,Extrovert,Storytelling,Office,Content Creator
88.43,Journalism,UI/UX,Creative,Introvert,Storytelling,Office,Content Creator
55.42,Engineering,Python,Analytical,Extrovert,AI,Office,AI Engineer
60.35,Science,Maths,Analytical,Ambivert,Econometrics,Hybrid,Quant Analyst
84.13,Engineering,SQL,Team Work,Ambivert,Database,Office,Database Administrator
69.94,Arts,Graphics Design,Communication,Introvert,Animation,Remote,Animator
58.04,Engineering,Python,Problem Solving,Ambivert,NLP,Office,NLP Engineer
58.57,Engineering,Python,Problem Solving,Extrovert,NLP,Office,NLP Engineer
87.53,Journalism,Communication Tools,Communication,Extrovert,Media,Remote,Journalist
85.99,Engineering,Web Dev,Analytical,Extrovert,Architecture,Remote,Backend Developer
91.98,Arts,Web Dev,Communication,Ambivert,Media,Office,Media Designer
75.82,Arts,UI/UX,Problem Solving,Introvert,Product Design,Hybrid,Product Designer
87.38,Science,Maths,Analytical,Extrovert,Statistics,Office,Statistician
90.75,Engineering,Python,Analytical,Introvert,AI,Hybrid,Prompt Engineer
83.02,Sports,Excel,Leadership,Introvert,Sports Marketing,Hybrid,Sports Marketing Manager
73.73,Engineering,Python,Creative,Introvert,Computer Vision,Office,CV Engineer
71.78,Engineering,Python,Analytical,Ambivert,AI,Office,Prompt Engineer
86.23,Sports,Excel,Leadership,Extrovert,Event Management,Hybrid,Sports Event Manager
93.43,Engineering,Python,Problem Solving,Introvert,ML,Remote,ML Engineer
71.79,Science,Python,Leadership,Ambivert,Research,Hybrid,Lab Manager
51.44,MBA,Power BI,Leadership,Introvert,Operations,Office,Operations Manager
93.49,Journalism,Web Dev,Communication,Ambivert,Broadcasting,Remote,Broadcast Journalist
99.55,Sports,Excel,Team Work,Ambivert,Fitness,Office,Fitness Manager
84.3,Engineering,Networking,Leadership,Extrovert,Cyber Security,Office,Security Engineer
91.28,Science,Maths,Problem Solving,Extrovert,Actuarial Science,Office,Actuary
75.09,Science,Maths,Creative,Ambivert,Physics,Remote,Research Associate
56.98,Journalism,Graphics Design,Creative,Ambivert,Marketing,Remote,Media Specialist
84.51,Sports,Communication,Team Work,Introvert,Athletics,Office,Trainer
69.91,Journalism,UI/UX,Communication,Introvert,Publishing,Hybrid,Content Strategist
88.43,Engineering,Power BI,Communication,Ambivert,Analytics,Remote,BI Developer
76.51,Commerce,Excel,Communication,Ambivert,Insurance,Hybrid,Insurance Analyst
96.89,Science,Python,Problem Solving,Introvert,ML,Hybrid,AI Researcher
67.28,Engineering,C++,Problem Solving,Introvert,Robotics,Remote,Robotics Engineer
92.86,Sports,Communication,Creative,Ambivert,Commentary,Hybrid,Sports Broadcaster
93.42,Journalism,Graphics Design,Creative,Ambivert,Advertising,Remote,Copywriter
59.18,Commerce,Power BI,Creative,Ambivert,Marketing Analytics,Hybrid,Marketing Analyst
64.91,Journalism,Graphics Design,Creative,Extrovert,Advertising,Remote,Copywriter
82.15,Engineering,Python,Creative,Ambivert,Computer Vision,Hybrid,CV Engineer
62.43,Commerce,Power BI,Communication,Extrovert,Analytics,Office,Business Analyst
62.65,Sports,Communication,Creative,Introvert,Commentary,Hybrid,Sports Broadcaster
59.88,Engineering,Networking,Leadership,Extrovert,Cyber Security,Remote,Security Engineer
88.15,Sports,Excel,Leadership,Introvert,Sports,Remote,Sports Manager
90.71,Commerce,Excel,Analytical,Extrovert,Finance,Remote,Financial Analyst
85.85,Journalism,Communication Tools,Communication,Introvert,Media,Remote,Journalist
79.47,Science,Power BI,Analytical,Extrovert,Analytics,Hybrid,Research Analyst
68.46,Sports,Analytics,Leadership,Introvert,Sports Tech,Remote,Sports Technology Analyst
56.22,Engineering,Python,Analytical,Introvert,Cloud,Remote,Cloud Engineer
81.34,MBA,SQL,Analytical,Ambivert,Product,Office,Product Manager
94.42,MBA,Power BI,Leadership,Introvert,Growth Marketing,Office,Growth Manager
81.17,Journalism,Communication Tools,Communication,Introvert,Media,Office,Journalist
72.96,Arts,Web Dev,Communication,Introvert,Media,Remote,Media Designer
65.31,Sports,Excel,Leadership,Extrovert,Event Management,Office,Sports Event Manager
86.12,Science,Python,Analytical,Introvert,AI,Office,Research Scientist
76.5,Arts,Graphics Design,Creative,Extrovert,Design,Hybrid,Graphic Designer
93.65,Engineering,C++,Problem Solving,Ambivert,Robotics,Remote,Robotics Engineer
82.38,Arts,Graphics Design,Creative,Ambivert,Gaming,Remote,Game Artist
67.02,Arts,Web Dev,Communication,Introvert,Media,Hybrid,Media Designer
52.76,Journalism,Web Dev,Communication,Introvert,SEO,Hybrid,SEO Specialist
94.85,Science,Python,Analytical,Extrovert,Bioinformatics,Hybrid,Bioinformatics Analyst
51.42,Sports,Excel,Leadership,Extrovert,Sports,Hybrid,Sports Manager
94.61,MBA,Excel,Leadership,Ambivert,HR,Office,HR Manager
91.03,Commerce,Power BI,Creative,Introvert,Marketing Analytics,Remote,Marketing Analyst
96.44,Sports,Analytics,Analytical,Ambivert,Sports Analytics,Office,Sports Analyst
50.6,MBA,SQL,Analytical,Extrovert,Product,Hybrid,Product Manager
54.95,Science,Python,Leadership,Extrovert,Research,Remote,Lab Manager
97.14,Sports,Communication,Creative,Introvert,Commentary,Hybrid,Sports Broadcaster
85.72,Engineering,SQL,Analytical,Introvert,Data Science,Hybrid,Data Analyst
55.24,Journalism,UI/UX,Creative,Introvert,Storytelling,Office,Content Creator
79.88,Science,SQL,Analytical,Ambivert,Data Science,Remote,Data Analyst
83.8,MBA,SQL,Analytical,Extrovert,Consulting,Remote,Business Consultant
95.11,Science,SQL,Analytical,Ambivert,Data Science,Hybrid,Data Analyst
76.71,Engineering,SQL,Analytical,Ambivert,Data Science,Office,Data Analyst
57.05,Commerce,Tally,Team Work,Introvert,Accounting,Remote,Accountant
70.99,Science,Python,Analytical,Ambivert,AI,Hybrid,Research Scientist
53.5,MBA,SQL,Analytical,Introvert,Product,Office,Product Manager
91.26,Commerce,Power BI,Creative,Extrovert,Marketing Analytics,Office,Marketing Analyst
79.63,Arts,Graphics Design,Creative,Introvert,Gaming,Office,Game Artist
60.38,Engineering,Python,Creative,Ambivert,Generative AI,Office,GenAI Specialist
56.68,MBA,SQL,Leadership,Introvert,Business Analytics,Remote,Strategy Consultant
81.41,MBA,Power BI,Leadership,Extrovert,Operations,Hybrid,Operations Manager
60.13,Engineering,Python,Problem Solving,Introvert,MLOps,Remote,MLOps Engineer
97.94,Science,Maths,Analytical,Ambivert,Statistics,Office,Statistician
98.02,Sports,Analytics,Analytical,Ambivert,Sports Analytics,Office,Sports Analyst
60.54,Journalism,Web Dev,Leadership,Extrovert,News,Office,Editor
58.37,Commerce,SQL,Analytical,Introvert,Banking,Hybrid,Risk Analyst
93.93,Science,Python,Leadership,Extrovert,Research,Hybrid,Lab Manager
83.8,Sports,Analytics,Analytical,Extrovert,Sports Analytics,Office,Sports Analyst
82.04,Journalism,Graphics Design,Creative,Extrovert,Advertising,Hybrid,Copywriter
89.11,Engineering,Python,Analytical,Introvert,AI,Hybrid,Data Scientist
96.91,Science,SQL,Analytical,Ambivert,Data Science,Hybrid,Data Analyst
50.24,Arts,Graphics Design,Leadership,Introvert,Branding,Office,Brand Designer
79.59,Arts,Graphics Design,Creative,Introvert,Gaming,Office,Game Artist
96.96,Science,Python,Problem Solving,Introvert,ML,Remote,AI Researcher
98.83,Commerce,Power BI,Creative,Introvert,Marketing Analytics,Hybrid,Marketing Analyst
86.2,Commerce,Excel,Problem Solving,Extrovert,Audit,Hybrid,Auditor
92.81,Arts,UI/UX,Creative,Extrovert,Design,Remote,UI UX Designer
81.88,Commerce,SQL,Analytical,Ambivert,Banking,Hybrid,Risk Analyst
94.29,Engineering,Python,Analytical,Ambivert,Cloud,Remote,Cloud Engineer
53.73,Engineering,Web Dev,Communication,Introvert,Web Apps,Hybrid,Full Stack Developer
97.54,Journalism,UI/UX,Creative,Introvert,Storytelling,Office,Content Creator
92.68,Arts,Graphics Design,Creative,Ambivert,Gaming,Office,Game Artist
68.4,Arts,Web Dev,Communication,Introvert,Media,Remote,Media Designer
93.45,Arts,UI/UX,Creative,Introvert,Design,Hybrid,UI UX Designer
63.87,Sports,Analytics,Analytical,Extrovert,Sports Analytics,Remote,Sports Analyst
62.3,MBA,SQL,Leadership,Introvert,Enterprise Strategy,Remote,Strategy Manager
61.37,Engineering,Python,Analytical,Extrovert,Automation,Remote,RPA Developer
63.37,Engineering,Python,Analytical,Introvert,Automation,Remote,RPA Developer
80.15,Arts,UI/UX,Problem Solving,Ambivert,Product Design,Remote,Product Designer
75.42,Engineering,Networking,Communication,Introvert,Infrastructure,Remote,System Engineer
66.29,Journalism,UI/UX,Creative,Ambivert,Storytelling,Remote,Content Creator
74.27,Engineering,Python,Problem Solving,Extrovert,DevOps,Office,DevOps Engineer
87.74,Engineering,Networking,Analytical,Introvert,Telecom,Hybrid,Telecom Engineer
79.14,Science,Maths,Problem Solving,Extrovert,Actuarial Science,Office,Actuary
61.16,Sports,Excel,Leadership,Ambivert,Event Management,Remote,Sports Event Manager
95.61,Sports,Excel,Leadership,Ambivert,Sports Marketing,Remote,Sports Marketing Manager
67.62,MBA,Power BI,Analytical,Introvert,Business Intelligence,Remote,BI Manager
92.85,Engineering,Python,Analytical,Introvert,AI,Office,Prompt Engineer
86.58,Engineering,Python,Analytical,Ambivert,Cloud,Office,Cloud Engineer
65.81,Commerce,Excel,Leadership,Ambivert,Investment,Office,Investment Analyst
98.9,MBA,SQL,Leadership,Introvert,Enterprise Strategy,Hybrid,Strategy Manager
82.35,Arts,UI/UX,Problem Solving,Ambivert,Product Design,Office,Product Designer
99.38,Engineering,C++,Problem Solving,Ambivert,Robotics,Office,Robotics Engineer
63.53,MBA,SQL,Leadership,Introvert,Enterprise Strategy,Hybrid,Strategy Manager
70.16,Science,SQL,Analytical,Extrovert,Data Science,Hybrid,Data Analyst
91.39,Commerce,Power BI,Analytical,Ambivert,Business Intelligence,Hybrid,BI Consultant
77.61,Engineering,Networking,Team Work,Introvert,Networking,Office,Network Engineer
60.67,Science,Python,Analytical,Ambivert,Bioinformatics,Remote,Bioinformatics Analyst
91.22,MBA,SQL,Leadership,Extrovert,Business Analytics,Remote,Strategy Consultant
70.87,Commerce,Power BI,Communication,Ambivert,Analytics,Remote,Business Analyst
51.17,Arts,Graphics Design,Communication,Ambivert,Animation,Hybrid,Animator
94.04,Journalism,Graphics Design,Creative,Ambivert,Advertising,Office,Copywriter
75.63,Science,Maths,Analytical,Ambivert,Statistics,Hybrid,Statistician
72.42,Engineering,Networking,Leadership,Ambivert,Cloud Security,Hybrid,Cloud Security Engineer
94.37,Engineering,Web Dev,Creative,Introvert,Design,Office,Frontend Developer
79.03,Journalism,Web Dev,Communication,Introvert,Social Media,Office,Social Media Manager
75.25,Engineering,SQL,Team Work,Introvert,Database,Hybrid,Database Administrator
87.43,Engineering,Python,Leadership,Extrovert,Automation,Office,Automation Engineer
75.88,Engineering,SQL,Analytical,Introvert,Data Science,Office,Data Analyst
88.66,MBA,Power BI,Leadership,Extrovert,Operations,Hybrid,Operations Manager
88.77,Arts,UI/UX,Problem Solving,Ambivert,Product Design,Hybrid,Product Designer
55.74,Arts,UI/UX,Analytical,Ambivert,User Research,Remote,UX Researcher
98.26,Engineering,Python,Leadership,Extrovert,Automation,Hybrid,Automation Engineer
87.92,Engineering,SQL,Team Work,Introvert,Database,Remote,Database Administrator
98.34,MBA,Power BI,Leadership,Ambivert,Growth Marketing,Office,Growth Manager
81.21,Arts,UI/UX,Creative,Introvert,Design,Office,UI UX Designer
65.56,Engineering,SQL,Analytical,Extrovert,Big Data,Office,Data Engineer
50.45,MBA,Power BI,Leadership,Ambivert,Growth Marketing,Remote,Growth Manager
56.79,Sports,Analytics,Problem Solving,Introvert,Sports Science,Office,Sports Scientist
81.48,Engineering,Web Dev,Communication,Extrovert,Web Apps,Office,Full Stack Developer
99.71,Engineering,Python,Analytical,Extrovert,AI,Hybrid,Data Scientist
79.11,Sports,Excel,Leadership,Ambivert,Sports,Office,Sports Manager
84.59,Journalism,UI/UX,Communication,Extrovert,Publishing,Office,Content Strategist
50.75,Science,Maths,Problem Solving,Ambivert,Actuarial Science,Hybrid,Actuary
94.93,Engineering,Networking,Communication,Ambivert,Infrastructure,Remote,System Engineer
81.18,Commerce,Excel,Leadership,Ambivert,Investment,Hybrid,Investment Analyst
71.22,Commerce,SQL,Analytical,Extrovert,FinTech,Office,FinTech Analyst
85.51,Commerce,Power BI,Leadership,Ambivert,Finance,Remote,Finance Manager
59.01,Engineering,Python,Problem Solving,Introvert,MLOps,Office,MLOps Engineer
90.75,Science,Maths,Problem Solving,Extrovert,Actuarial Science,Remote,Actuary
80.96,MBA,Excel,Problem Solving,Ambivert,Supply Chain,Remote,Supply Chain Manager
79.55,MBA,Excel,Communication,Ambivert,Sales,Remote,Sales Manager
87.67,MBA,Power BI,Leadership,Introvert,Operations,Office,Operations Manager
92.39,Engineering,SQL,Team Work,Introvert,Database,Office,Database Administrator
96.81,Commerce,Tally,Team Work,Extrovert,Accounting,Hybrid,Accountant
55.78,Sports,Excel,Leadership,Extrovert,Sports Marketing,Remote,Sports Marketing Manager
58.86,MBA,SQL,Analytical,Ambivert,Product,Remote,Product Manager
72.78,MBA,Excel,Problem Solving,Introvert,Supply Chain,Office,Supply Chain Manager
96.17,Engineering,Python,Problem Solving,Extrovert,NLP,Hybrid,NLP Engineer
89.67,Engineering,Python,Analytical,Extrovert,AI,Office,AI Engineer
59.78,Commerce,SQL,Analytical,Introvert,FinTech,Hybrid,FinTech Analyst
69.43,Engineering,Networking,Leadership,Ambivert,Cyber Security,Hybrid,Security Engineer
90.54,Science,Maths,Problem Solving,Introvert,Actuarial Science,Remote,Actuary
70.1,Science,Maths,Analytical,Extrovert,Econometrics,Remote,Quant Analyst
68.16,Engineering,Networking,Leadership,Ambivert,Cyber Security,Hybrid,Security Engineer
69.62,Engineering,Python,Analytical,Extrovert,Automation,Remote,RPA Developer
84.45,Science,Maths,Analytical,Introvert,Statistics,Remote,Statistician
67.6,Engineering,SQL,Team Work,Ambivert,Database,Remote,Database Administrator
95.32,Sports,Communication,Leadership,Introvert,Coaching,Hybrid,Coach
60.19,Sports,Analytics,Problem Solving,Introvert,Sports Science,Office,Sports Scientist
99.75,Science,Python,Analytical,Extrovert,AI,Remote,Research Scientist
50.82,Engineering,SQL,Analytical,Ambivert,Big Data,Office,Data Engineer
70.73,Engineering,Python,Analytical,Introvert,Automation,Hybrid,RPA Developer
